كشف حساب البنك فودافون 1

"م";"كود القيد";"تاريخ الادخال";"التاريخ";"المستخدم";"البيان";"مدين";"دائن";"الرصيد"
"303";"8531";"11/05/2026 07:21:01 م";"11/05/2026 07:21:01 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5402 نقدى";"2050.000000";;"27650.500000"
"304";"8538";"11/05/2026 08:31:20 م";"11/05/2026 08:31:20 م";"ابراهيم الضويني ";"تحويل الى كريم ابو الهدى المستلم ";;"5000.000000";"22650.500000"
"305";"8539";"11/05/2026 08:31:42 م";"11/05/2026 08:31:42 م";"ابراهيم الضويني ";"مصروفات المشتريات والخصومات عمولة تحويل المستلم كريم ابو الهدى";;"50.000000";"22600.500000"
"306";"8600";"12/05/2026 07:51:59 م";"12/05/2026 07:51:59 م";"يوسف محمود";"تحويل الى شركة الأقصى المستلم ";;"5000.000000";"17600.500000"
"307";"8601";"12/05/2026 08:24:25 م";"12/05/2026 08:24:25 م";"ابراهيم الضويني ";"تحويل الى شركة السمكه المستلم ";;"12500.000000";"5100.500000"
"308";"8602";"12/05/2026 08:25:13 م";"12/05/2026 08:25:13 م";"ابراهيم الضويني ";"مصروفات المشتريات والخصومات عموله تحويل المستلم ";;"15.000000";"5085.500000"
"309";"8612";"12/05/2026 11:47:24 م";"12/05/2026 11:47:24 م";"ابراهيم الضويني ";"تحويل الى مصطفي الضويني المستلم ";;"350.000000";"4735.500000"
"310";"8641";"13/05/2026 03:40:49 م";"13/05/2026 03:40:49 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5479 نقدى";"450.000000";;"5185.500000"
"311";"8724";"14/05/2026 12:33:08 ص";"14/05/2026 12:33:08 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5537 نقدى";"200.000000";;"5385.500000"
"312";"8780";"14/05/2026 04:27:03 م";"14/05/2026 04:27:03 م";"يوسف محمود";"تحويل من محمد السيد زجاج المستلم ";"1190.000000";;"6575.500000"
"313";"8802";"14/05/2026 07:26:28 م";"14/05/2026 07:26:28 م";"يوسف محمود";"تحويل من طارق القنيشي المستلم ";"1000.000000";;"7575.500000"
"314";"8821";"14/05/2026 10:59:07 م";"14/05/2026 10:59:07 م";"يوسف محمود";"تحويل من احمد الفرخ المستلم ";"6000.000000";;"13575.500000"
"315";"8839";"14/05/2026 11:35:16 م";"14/05/2026 11:35:16 م";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"4000.000000";;"17575.500000"
"316";"8882";"15/05/2026 02:36:10 ص";"15/05/2026 02:36:10 ص";"ابراهيم الضويني ";"تحويل من ابراهيم الاغا المستلم ";"1500.000000";;"19075.500000"
"317";"8883";"15/05/2026 03:28:44 ص";"15/05/2026 03:28:44 ص";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"556.000000";;"19631.500000"
"318";"8884";"15/05/2026 03:33:36 ص";"15/05/2026 03:33:36 ص";"ابراهيم الضويني ";"تحويل من باى  انستا 1 دمياط ";"145.000000";;"19776.500000"
"319";"8894";"15/05/2026 05:45:35 م";"15/05/2026 05:45:35 م";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"23000.000000";;"42776.500000"
"320";"8895";"15/05/2026 05:46:33 م";"15/05/2026 05:46:33 م";"ابراهيم الضويني ";"تحويل الى شركة الياسمين  المستلم ";;"23000.000000";"19776.500000"
"321";"8899";"15/05/2026 08:36:32 م";"15/05/2026 08:36:32 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5641 نقدى";"320.000000";;"20096.500000"
"322";"8920";"16/05/2026 03:51:02 م";"16/05/2026 03:51:02 م";"يوسف محمود";"تحويل من محل فولت (فارس عريف) المستلم ";"6000.000000";;"26096.500000"
"323";"9004";"16/05/2026 11:32:21 م";"16/05/2026 11:32:21 م";"يوسف محمود";"تحويل من احمد الخميسي المستلم ";"4000.000000";;"30096.500000"
"324";"9006";"16/05/2026 11:34:42 م";"16/05/2026 11:34:41 م";"يوسف محمود";"مصروفات مصروفات متنوعة اخرى المستلم ";;"1250.000000";"28846.500000"
"325";"9008";"17/05/2026 12:26:15 ص";"17/05/2026 12:26:15 ص";"ابراهيم الضويني ";"تحويل الى شركة الماسه لايت المستلم ";;"5000.000000";"23846.500000"
"326";"9067";"17/05/2026 05:09:17 م";"17/05/2026 05:09:17 م";"مدير الشركه مصطفي";"تحويل الى اورجينال (احمد حمزه) المستلم ";;"6000.000000";"17846.500000"
"327";"9112";"17/05/2026 09:40:15 م";"17/05/2026 09:40:15 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5771 نقدى";"295.000000";;"18141.500000"
"328";"9153";"18/05/2026 03:06:54 ص";"18/05/2026 03:06:54 ص";"مدير الشركه مصطفي";"تحويل من كاش فودافون 2 دمياط ";"1330.000000";;"19471.500000"
"329";"9218";"18/05/2026 06:42:02 م";"18/05/2026 06:42:02 م";"يوسف محمود";"تحويل من السيد العدل المستلم ";"3000.000000";;"22471.500000"
"330";"9238";"18/05/2026 07:54:17 م";"18/05/2026 07:54:17 م";"ابراهيم الضويني ";"تحويل الى مصطفي الضويني المستلم عادل";;"500.000000";"21971.500000"
"331";"9277";"19/05/2026 02:45:53 ص";"19/05/2026 02:45:53 ص";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"7700.000000";;"29671.500000"
"332";"9305";"19/05/2026 06:47:50 م";"19/05/2026 06:47:50 م";"يوسف محمود";"تحويل من ا / احمد حبيب المستلم ";"8940.000000";;"38611.500000"
"333";"9305";"19/05/2026 06:48:20 م";"19/05/2026 06:48:20 م";"يوسف محمود";"تحويل من حماده خشبه الماجيكو المستلم ";"4000.000000";;"42611.500000"
"334";"9311";"19/05/2026 07:44:01 م";"19/05/2026 07:44:01 م";"ابراهيم الضويني ";"تحويل الى مصطفي الضويني المستلم ";;"4000.000000";"38611.500000"
;;;;;;"834556.5";"795945";"38611.5"
